City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
160,The Valley,18.217,-63.0578,80.74,78,20,12.66,few clouds,AI,2022-05-16 23:34:56
161,Awbari,26.5921,12.7805,74.62,16,9,6.02,clear sky,LY,2022-05-16 23:34:57
162,Yellowknife,62.456,-114.3525,54.12,37,75,12.66,broken clouds,CA,2022-05-16 23:34:25
163,Merauke,-8.4667,140.3333,81.14,67,9,5.95,clear sky,ID,2022-05-16 23:34:59
164,Puerto Gaitan,4.3133,-72.0816,76.96,90,100,3.38,overcast clouds,CO,2022-05-16 23:35:00
165,Mount Pleasant,32.7941,-79.8626,84.34,73,0,9.22,clear sky,US,2022-05-16 23:35:00
166,Union,40.6334,-74.2663,72.28,77,75,9.22,heavy intensity rain,US,2022-05-16 23:35:01
167,Eureka,40.8021,-124.1637,62.67,72,79,10.0,broken clouds,US,2022-05-16 23:22:32
168,Vao,-22.6667,167.4833,74.79,76,11,14.9,few clouds,NC,2022-05-16 23:35:03
169,Charters Towers,-20.1,146.2667,75.78,62,82,7.2,broken clouds,AU,2022-05-16 23:35:03
170,Nantucket,41.2835,-70.0995,60.94,98,100,13.8,fog,US,2022-05-16 23:35:04
171,Zeya,53.75,127.2667,44.58,43,88,6.22,overcast clouds,RU,2022-05-16 23:35:05
172,Ystad,55.4297,13.8204,48.94,88,97,8.88,overcast clouds,SE,2022-05-16 23:35:06
173,Marquette,46.5333,-87.6335,53.04,61,100,9.19,overcast clouds,US,2022-05-16 23:31:57
174,Staryy Krym,45.0333,35.1,51.31,73,57,6.89,broken clouds,UA,2022-05-16 23:35:07
175,Zyryanka,65.75,150.85,50.38,51,17,17.56,few clouds,RU,2022-05-16 23:35:08
176,Hailin,44.5833,129.4167,58.84,43,20,7.94,few clouds,CN,2022-05-16 23:35:09
177,Cockburn Town,21.4612,-71.1419,80.56,74,40,20.71,scattered clouds,TC,2022-05-16 23:35:10
178,Sioux Lookout,50.1001,-91.917,50.07,53,40,8.05,scattered clouds,CA,2022-05-16 23:32:25
179,Pevek,69.7008,170.3133,33.37,92,100,5.5,overcast clouds,RU,2022-05-16 23:35:21
180,Ballina,-28.8667,153.5667,69.78,87,97,8.9,overcast clouds,AU,2022-05-16 23:35:22
181,Harrisonburg,38.4496,-78.8689,70.81,40,0,6.91,clear sky,US,2022-05-16 23:35:23
182,Chara,56.9064,118.2631,39.58,72,56,2.28,broken clouds,RU,2022-05-16 23:35:23
183,Praia Da Vitoria,38.7333,-27.0667,57.76,71,20,19.17,few clouds,PT,2022-05-16 23:35:24
184,Berlevag,70.8578,29.0864,35.55,75,100,23.02,overcast clouds,NO,2022-05-16 23:35:25
185,Carnarvon,-24.8667,113.6333,70.21,58,0,6.93,clear sky,AU,2022-05-16 23:35:25
186,Saint George,37.1041,-113.5841,97.39,7,0,14.97,clear sky,US,2022-05-16 23:35:26
187,Mitsamiouli,-11.3847,43.2844,79.02,70,0,6.69,clear sky,KM,2022-05-16 23:35:27
188,Baykit,61.67,96.37,53.47,75,17,3.38,few clouds,RU,2022-05-16 23:35:28
189,Talnakh,69.4865,88.3972,36.21,99,100,7.18,overcast clouds,RU,2022-05-16 23:35:28
190,Alofi,-19.0595,-169.9187,78.69,69,75,16.11,light intensity shower rain,NU,2022-05-16 23:35:29
191,Ushibuka,32.1906,130.0228,64.51,58,100,4.21,overcast clouds,JP,2022-05-16 23:35:30
192,Waingapu,-9.6567,120.2641,81.64,79,14,7.14,few clouds,ID,2022-05-16 23:35:31
193,Pangoa,-12.1167,-73.0,67.55,99,99,3.11,overcast clouds,PE,2022-05-16 23:35:32
194,Padang,-0.9492,100.3543,78.49,77,100,3.27,overcast clouds,ID,2022-05-16 23:35:33
195,Port Augusta,-32.5,137.7667,58.26,64,0,0.78,clear sky,AU,2022-05-16 23:35:34
196,Pahrump,36.2083,-115.9839,95.05,11,0,5.99,clear sky,US,2022-05-16 23:35:35
197,Athabasca,54.7169,-113.2854,66.61,52,91,12.48,overcast clouds,CA,2022-05-16 23:32:57
198,Beirut,33.8889,35.4944,65.37,88,75,1.14,mist,LB,2022-05-16 23:35:36
199,Ancud,-41.8697,-73.8203,46.76,69,16,6.55,few clouds,CL,2022-05-16 23:32:57
200,Payson,40.0444,-111.7321,85.48,12,40,8.05,scattered clouds,US,2022-05-16 23:35:37
201,Iquitos,-3.7481,-73.2472,78.84,89,40,4.61,scattered clouds,PE,2022-05-16 23:35:38
202,Bereda,43.2686,-7.5406,56.05,86,0,4.74,clear sky,ES,2022-05-16 23:35:39
203,Hambantota,6.1241,81.1185,79.79,85,89,18.75,overcast clouds,LK,2022-05-16 23:35:40
204,Nikolskoye,59.7035,30.7861,45.88,92,100,5.3,overcast clouds,RU,2022-05-16 23:35:40
205,Saint-Georges,12.0564,-61.7485,82.08,78,20,16.11,few clouds,GD,2022-05-16 23:35:41
206,Port Elizabeth,-33.918,25.5701,71.1,77,0,3.44,clear sky,ZA,2022-05-16 23:35:42
207,Raisen,23.3333,77.8,84.9,19,0,6.91,clear sky,IN,2022-05-16 23:35:43
208,Torbay,47.6666,-52.7314,45.28,84,100,9.22,overcast clouds,CA,2022-05-16 23:35:43
209,Sorland,67.667,12.6934,37.26,59,99,6.26,overcast clouds,NO,2022-05-16 23:35:44
210,Morant Bay,17.8815,-76.4093,82.71,84,95,8.86,overcast clouds,JM,2022-05-16 23:31:18
211,Saskylakh,71.9167,114.0833,18.3,93,68,4.54,broken clouds,RU,2022-05-16 23:35:45
212,Rawson,-43.3002,-65.1023,47.95,76,0,9.82,clear sky,AR,2022-05-16 23:35:46
213,Tezu,27.9167,96.1667,70.79,96,100,3.6,light rain,IN,2022-05-16 23:35:47
214,Faya,18.3851,42.4509,64.92,9,0,4.12,clear sky,SA,2022-05-16 23:35:48
215,Lokoja,7.8024,6.743,75.24,87,99,3.29,light rain,NG,2022-05-16 23:35:48
216,Comodoro Rivadavia,-45.8667,-67.5,48.06,53,0,8.05,clear sky,AR,2022-05-16 23:35:49
217,Ngunguru,-35.6167,174.5,69.49,70,67,9.6,broken clouds,NZ,2022-05-16 23:35:50
218,Kabalo,-6.05,26.9167,70.5,90,77,3.27,light rain,CD,2022-05-16 23:35:50
219,Vila Velha,-20.3297,-40.2925,75.15,78,0,0.0,clear sky,BR,2022-05-16 23:31:35
220,Chapais,49.7834,-74.8492,60.58,65,100,4.61,overcast clouds,CA,2022-05-16 23:35:51
221,Batemans Bay,-35.7167,150.1833,58.1,47,0,4.16,clear sky,AU,2022-05-16 23:35:52
222,Guerrero Negro,27.9769,-114.0611,65.52,69,12,21.59,few clouds,MX,2022-05-16 23:35:53
223,Batamshinskiy,50.5594,58.2747,46.29,91,50,11.25,scattered clouds,KZ,2022-05-16 23:35:54
224,Olafsvik,64.8945,-23.7142,49.82,75,52,8.3,broken clouds,IS,2022-05-16 23:35:55
225,Mendi,-6.1761,143.6513,67.1,68,87,3.2,overcast clouds,PG,2022-05-16 23:35:56
226,Ler,8.3018,30.1418,79.29,68,59,1.07,broken clouds,SS,2022-05-16 23:35:57
227,Constitucion,-35.3333,-72.4167,53.92,71,0,3.18,clear sky,CL,2022-05-16 23:33:38
228,Kant,27.8,79.8,90.37,15,76,5.79,broken clouds,IN,2022-05-16 23:36:08
229,Mumford,5.2618,-0.759,80.74,85,73,7.38,broken clouds,GH,2022-05-16 23:36:09
230,Bethel,41.3712,-73.414,66.85,90,75,4.61,broken clouds,US,2022-05-16 23:36:09
